project,#u_classes,#d_classes,#uv_classes,#dv_classes,#u_sloc,#d_sloc,#uv_classes_sloc,#dv_classes_sloc,#uv_p1_r1,#uv_p1_r2,#uv_p1_r3,#uv_p1_r4,#uv_p2_r1,#uv_p2_r2,#uv_p2_r3,#uv_p2_r4,#uv_p3_r1,#uv_p3_r2,#uv_p3_r3,#uv_p3_r4,#dv_p1_r1,#dv_p1_r2,#dv_p1_r3,#dv_p1_r4,#dv_p2_r1,#dv_p2_r2,#dv_p2_r3,#dv_p2_r4,#dv_p3_r1,#dv_p3_r2,#dv_p3_r3,#dv_p3_r4
jitsi.jitsi-videobridge,144,4506,5,227,8366,168483,1254,20442,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,38,0,0,0,300,0,0,0,23
flaxsearch.luwak,146,4621,0,58,3164,115600,0,5712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,82,0,0,0,6
Slikey.EffectLib,147,48,2,1,4448,548,406,41,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
RuedigerMoeller.kontraktor,148,219,21,28,5302,11608,2929,4475,0,0,0,27,0,0,0,12,0,0,0,6,0,0,0,18,0,0,0,27,0,0,0,10
jsampson.prevayler,150,1036,6,39,3710,34704,186,4469,0,0,0,0,0,0,0,10,0,0,0,3,0,0,0,13,0,0,0,39,0,0,0,10
mirador.mirador,150,2942,13,60,11956,145470,4055,30126,0,0,0,20,0,0,0,18,0,0,0,4,0,0,0,167,0,0,0,115,0,0,0,158
semanticvectors.semanticvectors,150,6250,21,173,6871,211877,2169,48056,0,0,0,11,0,0,0,16,0,0,0,3,0,0,0,43,0,0,0,285,0,0,0,9
AxonFramework.Axon-trader,151,9012,1,385,6561,336079,52,52488,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,61,0,0,10,671,0,0,0,76
skyscreamer.yoga,151,11584,2,443,3189,433960,160,63698,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,107,0,3,2,1085,0,0,0,104
okleine.nCoAP,154,2601,7,17,4922,61084,388,782,0,0,0,1,0,0,0,13,0,0,0,1,0,0,0,5,0,0,0,9,0,0,0,9
Sable.heros,155,4109,1,6,2975,47138,477,327,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5
UweTrottmann.tmdb-java,159,87,2,0,1754,800,33,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
BottegaIT.ddd-cqrs-sample,159,3657,4,65,2487,100628,193,7488,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,0,90,0,0,0,26
peakgames.libgdx-stagebuilder,162,1078,3,53,5548,65820,373,7637,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,26,0,0,0,107,0,0,0,5
pulsarIO.realtime-analytics,162,4767,6,97,6193,137368,265,10963,0,0,0,11,0,0,0,4,0,0,0,2,0,0,0,11,0,2,0,140,0,0,0,49
groupon.odo,163,7232,16,339,7224,304518,3350,46681,0,0,8,16,0,0,0,18,0,0,0,9,0,3,4,36,0,1,3,567,0,0,0,74
JavaMoney.jsr354-ri,165,84,1,0,5998,1778,42,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
red5.red5-server,165,3342,18,167,5672,117598,1269,18266,0,0,0,14,0,0,0,10,0,0,0,1,0,0,0,41,0,0,0,241,0,0,0,132
secure-software-engineering.soot-infoflow-android,167,4595,11,143,4566,205380,436,14824,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,95,0,0,0,126,0,0,0,11
brianfrankcooper.YCSB,169,118110,9,2660,9875,2525867,770,277836,0,0,0,2,0,0,1,20,0,0,0,7,0,0,2,1170,0,3,15,2985,0,0,0,336
ttddyy.datasource-proxy,175,556,6,44,7242,20771,338,3825,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,3,0,0,0,68,0,0,0,17
4pr0n.ripme,178,1291,8,31,6097,46940,784,2216,0,0,0,4,0,0,0,3,0,0,0,2,0,0,0,0,0,0,1,62,0,0,0,8
FasterXML.jackson-jr,179,58,26,0,16587,3542,6142,0,0,0,0,4,0,0,0,50,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
mheath.adbcj,182,1070,13,8,4827,39913,357,697,0,0,0,0,0,0,0,28,0,0,0,2,0,0,0,3,0,0,0,12,0,0,0,0
jenkinsci.trilead-ssh2,186,34,42,4,7283,2572,1303,875,0,0,0,0,0,0,0,52,0,0,0,2,0,0,0,0,0,0,0,14,0,0,0,0
jmock-developers.jmock-library,186,3470,4,26,3159,52685,229,3401,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,3,0,0,0,33,0,0,0,5
termd.termd,186,6350,6,203,5322,254571,1073,19662,0,0,0,1,0,0,0,7,0,0,0,465,0,0,0,8,0,0,0,459,0,0,0,9
audit4j.audit4j-core,187,2166,5,83,5039,90924,352,11849,0,0,0,2,0,0,0,18,0,0,0,0,0,0,0,55,0,0,0,91,0,0,0,26
penberg.fjord,188,2094,3,39,10389,55114,6216,13697,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,24,0,0,0,59,0,0,0,30
javanna.elasticshell,191,8187,1,316,6913,263575,27,32288,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,61,0,0,0,479,0,0,0,75
yinlou.mltk,194,286,15,0,12087,6773,1118,0,0,0,0,0,0,0,0,45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
foursquare.heapaudit,196,159,6,0,10295,9212,526,0,0,0,0,1,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
hibernate.hibernate-tools,199,9989,6,511,8680,445544,254,96784,0,0,3,0,0,0,0,1,0,0,0,2,0,0,0,117,0,0,0,1676,0,0,0,50
killme2008.aviator,202,137,5,6,11956,6911,583,583,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,7,0,0,0,2
klout.brickhouse,202,8588,5,285,3143,265440,150,41759,0,0,0,5,0,0,0,0,0,0,0,0,18,1,0,122,0,19,0,513,0,0,0,36
senseidb.zoie,203,13937,15,273,6062,351447,1413,35913,0,0,0,6,0,0,0,10,0,0,0,2,0,0,0,27,0,3,1,622,0,0,0,23
subchen.jetbrick-template-2x,205,3340,5,119,5816,118147,691,11602,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,9,0,5,0,171,0,0,0,51
alphazero.jredis,211,281,5,13,6977,9974,1819,1013,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,20,0,0,0,2
killme2008.gecko,216,25,4,3,8956,1427,222,414,0,0,0,1,0,0,0,6,0,0,0,4,0,0,0,2,0,0,0,10,0,0,0,0
mpetazzoni.ttorrent,219,1013,7,15,6155,27223,702,820,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,14,0,0,0,3
Matthias247.jawampa,220,1822,1,19,2132,61647,65,2550,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,26,0,0,0,1
webx.citrus,223,3850,5,106,7881,188936,344,17057,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,23,0,0,0,198,0,0,0,5
ESAPI.esapi-java-legacy,229,4784,5,119,11177,210997,553,14175,0,0,0,3,0,0,0,16,0,0,0,2,0,0,0,21,0,0,1,207,0,0,0,16
spring-cloud.spring-cloud-commons,233,4105,1,42,3703,116890,37,4381,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,75,0,0,0,14
secure-software-engineering.soot-infoflow,234,4066,9,111,8613,191099,1223,13225,0,0,0,6,0,0,0,12,0,0,0,0,0,0,0,68,0,0,0,112,0,0,0,11
Findwise.Hydra,234,16399,6,719,9393,585505,435,116298,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,81,0,0,1,715,0,0,0,713
RaiMan.SikuliX2,236,3135,12,89,12368,136634,5448,8360,0,0,0,13,0,0,0,17,0,0,0,12,0,0,0,12,0,0,0,139,0,0,0,41
oldmanpushcart.greys-anatomy,246,1385,4,40,4238,66829,158,5224,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,23,0,0,0,35,0,0,0,58
SoftInstigate.restheart,247,4847,1,82,9474,123718,485,8208,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,0,0,1,67,0,0,0,88
sd4324530.fastweixin,248,282,11,36,7359,16586,691,5788,1,0,0,0,0,0,0,19,0,0,0,0,0,0,0,21,0,0,0,44,0,0,0,3
adyliu.jafka,248,3768,0,61,6827,174603,0,11293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,113,0,0,0,2
dhanji.loop,251,113,15,11,3894,8065,334,404,0,0,0,16,0,0,0,13,0,0,0,28,0,0,0,15,0,0,0,11,0,0,0,24
prometheus.jmx_exporter,256,259,5,5,5649,5535,718,718,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,2
thinkaurelius.faunus,256,1286,8,29,4369,42791,882,3043,0,0,0,1,0,0,0,2,0,0,0,13,0,0,0,0,0,0,0,23,0,0,0,25
indeedeng.util,263,12993,17,204,9887,283710,2026,27525,0,0,0,1,0,0,0,9,0,0,0,7,0,0,0,2,0,0,0,534,0,0,0,14
searchbox-io.Jest,273,2011,3,5,3868,38944,330,237,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,4
feroult.yawp,275,34061,14,700,10550,544008,911,70426,0,0,0,3,0,1,0,6,0,0,0,9,0,3,9,61,0,0,13,1132,0,0,0,232
Erudika.para,287,17860,4,393,13716,634319,643,52412,0,0,0,0,0,3,0,6,0,0,0,3,0,0,0,14,0,0,0,798,0,0,0,76
google.truth,289,3003,0,7,6865,62144,0,1021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3
garbagemule.MobArena,294,12,3,0,9600,101,202,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
skadistats.clarity,296,1722,11,375,7272,5618,829,2137,0,0,0,2,0,0,0,18,0,0,0,0,0,0,0,372,0,0,0,2,0,0,0,4
forcedotcom.dataloader,308,4744,9,352,9146,289262,1418,67420,0,0,0,4,0,0,0,6,0,0,0,1,0,0,1,72,0,0,0,569,0,0,0,149
zeromq.jeromq,311,9,11,1,9393,715,1315,34,0,0,0,0,0,0,0,17,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0
uudashr.jsmpp,313,336,20,11,9604,13360,1257,641,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,3
synyx.urlaubsverwaltung,326,5805,1,226,1921,276778,52,35452,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,5,0,0,6,343,0,0,0,72
Steveice10.MCProtocolLib,335,308,25,10,10344,7422,1005,452,0,0,0,0,0,0,0,50,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,2
arangodb.arangodb-java-driver,349,172,2,3,8276,3783,132,574,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2
uwolfer.gerrit-rest-java-client,360,2461,2,15,4733,53148,91,1409,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,45,0,0,0,4
filoghost.HolographicDisplays,367,4,14,0,11656,92,1433,0,0,0,0,1,0,0,0,18,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
grundid.nfctools,368,21,62,0,9336,795,1895,0,0,0,0,9,0,0,0,152,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
undera.jmeter-plugins,373,3511,16,77,16387,158396,1570,9008,0,0,0,4,0,0,0,20,0,0,0,2,0,0,0,2,0,0,0,108,0,0,0,15
sanity.quickml,380,16587,8,333,13824,517558,626,57560,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,31,0,0,0,801,0,0,0,43
javamonkey.beetl2.0,382,210,30,11,10540,8491,3543,1346,0,0,0,36,0,0,0,34,0,0,0,8,0,0,0,0,0,0,0,17,0,0,0,4
spotify.helios,384,7598,21,199,12904,257047,2109,16449,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,4,0,0,0,457,0,0,0,8
Esri.geometry-api-java,395,107,7,19,33925,12133,818,5527,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0
drewnoakes.metadata-extractor,405,55,98,1,15416,3730,3650,92,0,0,0,7,0,0,0,112,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0
google.closure-stylesheets,409,4911,4,60,11105,128202,310,6756,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,11,0,0,0,110,0,0,0,18
jdereg.n-cube,411,9248,381,1215,21951,393835,21771,82615,0,0,0,0,0,0,0,12,0,0,0,392,0,0,1,45,0,0,0,393,0,0,0,995
ATLauncher.ATLauncher,419,270,9,4,10123,7504,1287,200,0,0,0,2,0,0,0,21,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,2
KittehOrg.KittehIRCClientLib,419,570,0,3,7294,20555,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1
ribomation.DroidAtScreen1,446,372,17,0,15147,13421,1358,0,0,0,0,2,0,0,0,19,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0
thelinmichael.spotify-web-api-java,447,696,27,4,4037,9961,748,154,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2
movsim.movsim,447,6450,2,88,19520,234270,208,12767,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,112,0,0,0,24
dragon66.icafe,459,587,32,63,20144,29683,2811,9080,0,0,0,2,0,0,0,62,0,0,0,1,0,0,0,10,0,0,0,117,0,0,0,4
galenframework.galen,466,2526,11,57,16926,134048,744,13101,0,0,0,5,0,0,0,15,0,0,0,3,0,0,0,5,0,0,0,99,0,0,0,9
xnio.xnio,477,287,0,0,16350,10231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
raml-org.raml-java-parser,504,2975,4,26,12881,88254,246,2569,0,0,0,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,36,0,0,0,9
xetorthio.jedis,520,111,8,2,23755,4688,382,95,0,0,0,1,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1
jfaster.mango,527,3091,7,115,14012,90409,871,10488,0,0,0,0,0,0,0,26,0,0,0,7,0,0,0,28,0,0,0,138,0,0,0,40
mcMMO-Dev.mcMMO,531,727,29,61,24612,25854,2718,4956,0,0,4,51,0,0,1,69,0,0,0,37,0,0,8,4,0,0,10,36,0,0,0,73
kairosdb.kairosdb,577,10974,22,214,12486,410413,1434,34687,0,0,0,7,0,0,0,14,0,0,0,7,0,0,5,17,0,2,8,318,0,0,0,178
vvakame.JsonPullParser,589,2396,95,10,22918,56322,9313,395,0,0,0,8,0,0,0,156,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,3
wendykierp.JTransforms,612,1363,0,26,24896,76690,0,10893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,3
indeedeng.imhotep,622,14531,38,288,24085,355017,7568,36637,0,0,0,22,0,0,0,22,0,0,0,2,0,0,0,27,0,0,0,607,0,0,0,20
finmath.finmath-lib,647,2460,85,40,38523,148381,12844,17391,0,0,0,1,0,0,0,220,0,0,0,0,0,0,0,1,0,0,0,44,0,0,0,8
iipc.openwayback,677,4616,44,251,22202,195248,3555,26027,0,0,0,28,0,3,0,47,0,0,0,14,0,0,0,110,0,0,0,442,0,0,0,14
internetarchive.wayback,691,4174,44,240,22474,179835,3493,24760,0,0,0,26,0,3,0,49,0,0,0,14,0,0,0,106,0,0,0,400,0,0,0,14
jMetal.jMetal,699,5846,27,250,31783,257505,4396,47572,0,0,0,0,0,0,0,42,0,0,0,3,0,0,5,149,0,0,2,346,0,0,0,27
SquidPony.SquidLib,707,1097,57,51,63086,68140,18467,9044,0,0,0,15,0,0,0,138,0,0,0,37,0,0,0,35,0,0,0,82,0,0,0,5
LiveRamp.hank,743,6444,9,193,18468,219679,780,21347,0,0,0,0,0,5,0,6,0,0,0,1,0,0,0,16,0,3,2,295,0,0,0,56
apache.metamodel,752,16447,28,523,27091,563811,2257,61938,0,0,1,1,0,1,0,41,0,0,0,9,0,0,2,92,0,0,4,799,0,0,0,52
radsz.jacop,788,6236,61,931,51608,172734,2629,29285,0,0,0,1,0,0,0,211,0,0,0,12,0,0,0,21,0,0,0,1033,0,0,0,86
Progether.JAdventure,789,187,29,0,24558,4980,2634,0,0,0,0,7,0,0,0,27,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
jmacglashan.burlap,853,2978,30,110,33769,178084,2818,21758,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,33,0,0,0,157,0,0,0,14
robo-code.robocode,943,493,15,11,28961,13388,1516,602,0,0,0,2,0,0,0,17,0,0,0,9,0,0,0,4,0,0,0,6,0,0,0,6
ata4.bspsrc,957,731,6,0,49680,41666,856,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
fozziethebeat.S-Space,970,1595,26,1,38326,78704,2459,14,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
tlaukkan.zigbee4java,1007,3506,112,150,23441,134232,4598,12101,0,0,0,0,0,0,0,186,0,0,0,2,0,0,0,8,0,0,0,347,0,0,0,11
linkedin.indextank-engine,1108,3244,23,104,25849,112490,1632,22260,0,0,0,8,0,0,0,24,0,0,0,4,0,0,0,17,0,2,1,165,0,0,0,26
killme2008.Metamorphosis,1310,6375,27,222,24629,198039,1397,27004,0,0,0,8,0,0,0,34,0,0,0,3,0,0,5,31,0,0,3,310,0,0,0,160
google.closure-templates,1634,4719,3,86,40192,134006,177,8428,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,15,0,0,0,77,0,0,0,39
twilio.twilio-java,1646,3622,5,58,74940,129779,202,10582,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,2
looly.hutool,1681,15530,29,528,46248,644516,2539,57595,0,0,0,6,0,0,0,36,0,0,0,8,0,0,1,161,0,0,2,868,0,0,0,93
apache.struts,1759,13848,62,328,59966,476724,5316,42051,0,0,0,32,0,0,0,100,0,0,0,7,0,0,0,42,0,1,1,511,0,0,0,62
MutabilityDetector.MutabilityDetector,1762,2469,23,10,50295,59679,3607,1435,0,0,0,14,0,0,0,32,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,1
javaparser.javaparser,1881,2415,7,29,56625,60988,1282,3763,0,0,0,5,0,0,0,3,0,0,0,1,0,0,0,15,0,0,0,41,0,0,0,4
martint.jmxutils,2020,2548,2,8,41526,47862,161,394,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,5
aragozin.jvm-tools,2309,276,32,1,23586,11369,4328,114,0,0,0,6,0,0,0,51,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0
spullara.redis-protocol,2874,4186,48,25,94554,135161,6769,2080,0,0,0,17,0,0,0,68,0,0,0,16,0,0,0,5,0,0,0,33,0,0,0,3
forge.roaster,3023,1727,282,219,213538,155511,59149,51680,0,0,0,852,0,0,0,1218,0,0,0,144,0,0,0,69,0,0,0,1094,0,0,0,24
johncarl81.parceler,3339,26,32,0,83428,505,3085,0,0,0,0,3,0,0,0,57,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
kennycason.kumo,3470,865,70,0,113362,37305,7789,0,0,0,0,5,0,0,0,113,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
google.error-prone,6063,6032,10,22,93798,141766,1355,1957,0,0,0,0,0,0,0,6,0,0,0,5,0,0,0,1,0,0,0,20,0,0,0,10
keedio.flume-ng-sql-source,6185,3500,233,0,241024,125990,33652,0,0,0,1,55,0,0,0,360,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0
brendano.ark-tweet-nlp,6463,3143,167,0,255875,111836,26196,0,0,0,0,39,0,0,0,363,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
etsy.PushBot,7264,2807,331,0,374036,170431,60994,0,0,0,3,113,0,3,1,893,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0
forcedotcom.Analytics-Cloud-Dataset-Utils,7840,5043,515,0,380858,250441,67413,0,0,0,1,91,0,4,0,738,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0
mgodave.barge,8111,3316,148,4,209331,70386,17525,55,0,0,0,34,0,2,1,193,0,0,0,50,0,0,0,4,0,0,0,0,0,0,0,0
jsevellec.cassandra-unit,8684,8241,148,49,259029,230270,33265,5663,0,0,0,58,0,0,0,168,0,0,0,22,0,0,0,0,0,0,0,78,0,0,0,13
javasoze.clue,9914,8774,674,0,255086,221566,26522,0,0,0,0,522,0,0,0,300,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0
airbnb.twitter-commons-sample,12601,1938,242,0,333252,44254,44454,0,0,0,0,36,0,5,0,443,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0
ncolomer.elasticsearch-osmosis-plugin,14420,6383,344,0,432471,178250,39981,0,0,0,0,42,0,0,0,525,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0
hazelcast.hazelcast,15475,1763,6,17,222639,35520,193,4025,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,16,0,0,0,18,0,0,0,4
jsimone.webapp-runner,15982,4138,363,0,466638,148482,63949,0,0,0,0,113,0,2,3,1094,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0
hbaseinaction.twitbase,22483,3499,801,0,798308,123841,121502,0,12,1,2,242,0,18,5,1950,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0
srikalyc.Sql4D,31433,14021,550,0,750891,507147,83229,0,0,0,8,62,0,0,8,996,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0
eclipse.californium,36587,984,85,0,232338,52275,15359,0,0,0,0,4,0,0,0,177,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
